goalkeeper,shots_faced,goals_conceded,save_ratio
Miguel Ángel Moyà Rumbo,0.03360682166621799,0.0,1.0
Sergio Álvarez Conde,0.05444279599160912,0.0,1.0
Cecilio Nauzet Pérez González,0.014534869443868474,0.0,1.0
Jon Ander Serantes Simon,0.0033792965537758147,0.0,1.0
Javier Varas Herrera,0.038046198923550496,0.0,1.0
Salvatore Sirigu,0.01542793544895684,0.0,1.0
Diego Alves Carreira,0.05392461739031879,0.0,1.0
Germán Darío Lux,0.03474510212184007,0.0,1.0
Yoel Rodríguez Oterino,0.03405080666506516,0.0,1.0
Idriss Carlos Kameni,0.021394754538085852,0.0,1.0
Andrés Eduardo Fernández Moreno,0.040524375448807805,0.0,1.0
Manuel Fernández Muñíz,0.01616170828662805,0.0,1.0
Diego Mariño Villar,0.06501482784814756,0.0,1.0
Xabier Iruretagoiena Aranzamendi,0.007431553943544329,0.0,1.0
Raúl Lizoáin Cruz,0.023118824016958108,0.0,1.0
Mariano Damián Barbosa,0.00888300918670225,0.0,1.0
Daniel Giménez Hernández,0.007994708268032025,0.0,1.0
Stipe Pletikosa,0.009752762242222077,0.0,1.0
Giedrius Arlauskis,0.005101908820373664,0.0,1.0
Juan Carlos Martín Corral,0.020256151942779306,0.0,1.0
Alphonse Areola,0.006738226910536412,0.0,1.0
António Alberto Bastos Pimparel,0.004955398753147899,0.0,1.0
Roberto Fernández Alvarellos,0.002461323552467348,0.0,1.0
Cristian Darío Álvarez,0.0029445491724591545,0.0,1.0
Fabricio Martín Agosto Ramírez,0.006888004915368477,0.0,1.0
Julián Cuesta Díaz,0.002065336550153897,0.0,1.0
Antonio Rodríguez Martínez,0.005703809782336887,0.0,1.0
Francisco Casilla Cortés,0.011486313439238208,0.0,1.0
Jaime Jiménez Merlo,0.002757337190678509,0.0,1.0
Jesús Fernández Collado,0.0025471621479988228,0.0,1.0
Esteban Andrés Suárez,0.00499636135422312,0.0,1.0
José Manuel Pinto Colorado,0.014184611912881147,0.0,1.0
Orestis Karnezis,0.06427591607304169,0.0,1.0
Manuel Herrera Yagüe,0.003517125375301322,0.0,1.0
Javier López Rodríguez,0.0002025750748752758,0.0,1.0
Júlio César Jacobi,0.0028790477024782423,0.0,1.0
Guillermo Sara,0.0004666702225388812,0.0,1.0
Daniel Hernández Santos,0.0005052584230467796,0.0,1.0
Adrián San Miguel del Castillo,0.014230288602671724,0.0,1.0
Dudú Aouate,0.0019758176207674786,0.0,1.0
Daniel Aranzubia Aguado,0.0011664299296506736,0.0,1.0
Gustavo Adolfo Munúa Vera,0.0017796371316768642,0.0,1.0
Jordi Codina Rodríguez,0.0012132385567223064,0.0,1.0
Andrés Palop Cervera,0.001471242821389666,0.0,1.0
Mario Fernández Cuesta,0.0006846911684214955,0.0,1.0
David Cobeño Iglesias,0.0008394961918740066,0.0,1.0
Juan Pablo Colinas Ferreras,0.0006275821277342052,0.0,1.0
Casto Espinosa Barriga,0.0006360499802749727,0.0,1.0
Ricardo López Felipe,0.0005915010378300176,0.0,1.0
Juan Jesús Calatayud Sánchez,0.0004021502235313997,0.0,1.0
César Sánchez Domínguez,0.00043709164787157184,0.0,1.0
Antonio Baltasar Doblas Santana,0.0004894990079564994,0.0,1.0
Sergio Aragoneses Almeida,0.0002927202588889228,0.0,1.0
Juan Pablo Carrizo,3.7600032662694875e-05,0.0,1.0
Óscar Alfredo Ustari,4.331281156734808e-05,0.0,1.0
Jacobo Sanz Ovejero,9.676842054521416e-05,0.0,1.0
Justo Wilmar Villar Viveros,6.691813637580245e-05,0.0,1.0
Renan Brito Soares,0.00020302248803297717,0.0,1.0
Fabio Coltorti,0.00010998894378295687,0.0,1.0
Sergio Sánchez Sánchez,6.166200183188808e-05,0.0,1.0
Grégory Coupet,4.514572770709835e-05,0.0,1.0
Francesc Arnau,5.282468714469444e-05,0.0,1.0
Iñaki Lafuente Sancha,0.00012654602399002067,0.0,1.0
Ricardo Alexandre Martins Soares Pereira,9.499248916133077e-05,0.0,1.0
Leonardo Neoren Franco,5.425350965538197e-05,0.0,1.0
Iñaki Goitia Peña,6.846384739995148e-05,0.0,1.0
Marco Storari,8.923648780705456e-06,0.0,1.0
Christian Abbiati,5.245027167968759e-05,0.0,1.0
Vladan Kujović,2.9553307040025783e-05,0.0,1.0
Alberto García Cabrera,2.4221016507958934e-05,0.0,1.0
Roberto Carlos Abbondanzieri,3.3377487821557254e-05,0.0,1.0
Mario Sebastián Viera Galain,3.713567372174186e-05,0.0,1.0
Alberto López Fernández,2.3752686763305765e-05,0.0,1.0
Stefano Sorrentino,0.017513371895358426,0.0,1.0
Timo Hildebrand,1.6878632458570914e-05,0.0,1.0
José Santiago Cañizares Ruíz,3.427110060063546e-05,0.0,1.0
Rubén Pérez Chueca,2.1970863907170855e-05,0.0,1.0
Pedro Gonzalez Contreras Cano,2.56966532340826e-05,0.0,1.0
Ludovic Butelle,1.4604002733356887e-05,0.0,1.0
Javier López Vallejo,7.686368769719872e-06,0.0,1.0
José Francisco Molina Jiménez,1.3345137678241012e-05,0.0,1.0
Armando Riveiro de Aguilar Malda,7.771142611010651e-06,0.0,1.0
Franco Costanzo,1.3868815513626401e-05,0.0,1.0
Luis García Conde,1.79718732694244e-06,0.0,1.0
Raúl Valbuena Cano,5.85659213548576e-06,0.0,1.0
Ricardo Sanzol Goñi,4.089684744827008e-06,0.0,1.0
Juan Luis Mora Palacios,3.2615275229502233e-06,0.0,1.0
Ronald Louis Gaspercic,1.2800573979622633e-06,0.0,1.0
Francisco Javier Sánchez Broto,4.888166125818958e-06,0.0,1.0
Mariano García Remón,2.147545908663259e-15,0.0,1.0
Pere Valentí Mora Mariné,8.25979195639715e-16,0.0,1.0
Gianluigi Donnarumma,30.64185096887894,0.0,1.0
Mory Diaw,1.5849653651603746,0.0,1.0
François-Joseph Sollacaro,0.9101385317909472,0.0,1.0
Anthony Lopes,2.1164580513574975,0.0,1.0
Marco Bizot,1.7235835692858834,0.0,1.0
Lucas Chevalier,0.19433868959521552,0.0,1.0
Yehvann Diouf,0.7469489334858669,0.0,1.0
Paul Bernardoni,1.5651787160194115,0.0,1.0
Benoît Guy Robert Costil,0.2668112916083892,0.0,1.0
Matz Sels,1.0271383593524652,0.0,1.0
Ionuț Andrei Radu,1.2706076781930238,0.0,1.0
Yvon Landry Mvogo,0.9989251553959337,0.0,1.0
Brice Samba,0.8629845779640839,0.0,1.0
Alban Lafont,2.2196391422502804,0.0,1.0
Maxime Dupé,2.2361961025236217,0.0,1.0
