manager,directness,width,tempo,raw_directness,raw_width,raw_tempo
Philippe Clement,4,7,10,0.22445255474452555,0.3677007299270073,999.0
Olivier Dall’Oglio,4,7,10,0.23145235895448407,0.3750912526735937,996.0439406881726
Frédéric Antonetti,4,6,10,0.23085549447458575,0.3479918674224564,834.741946418888
Régis Le Bris,4,6,10,0.21735395189003437,0.3384879725085911,997.0
Alexandre Dujeux,4,7,10,0.21735905044510387,0.35756676557863504,873.0
Franck Haise,4,6,10,0.22300089188875633,0.3345778753433131,875.42283492459
Didier Digard,4,8,10,0.22807017543859648,0.40277777777777785,888.0
Antoine Kombouare,4,6,10,0.22517471533445796,0.33409682846054894,967.505615720057
Romain Pitau,4,6,10,0.22784810126582278,0.337251356238698,926.0
Bruno Irles,4,7,10,0.24234105243689877,0.3616528191903808,1000.4009589481067
Lucien Favre,4,7,10,0.2100082034454471,0.3634126333059885,881.9999999999999
Peter Bosz,4,7,10,0.22928478389423174,0.35920783374359727,976.7055281028075
Michel Der Zakarian,4,6,10,0.21567162889677374,0.3224307042850583,1057.6835482802144
Julien Stéphan,5,7,10,0.25,0.3781138790035587,912.0
Jocelyn Gourvennec,4,7,10,0.24404992478621357,0.3642634307427557,985.4139095335146
David Guion,4,6,10,0.24763772972617695,0.3159325425931573,1126.5264800230955
Claude Puel,4,6,10,0.23788432776979243,0.3443684782292573,958.5071097839533
Pascal Dupraz,4,7,10,0.24307379177218882,0.36874340376995013,1034.768778825238
Mohamed Bradja,5,6,10,0.2710562866348023,0.338707571586074,1215.4055039850475
Franck Passi,5,6,10,0.2755468388138606,0.3259605778920559,1172.099748529628
José Leonardo Nunes Alves Sousa Jardim,5,6,10,0.2558815012916796,0.3494622927927244,1182.0576427848075
Patrice Garande,5,6,10,0.2519084520316027,0.32954213378256925,1173.9331317149968
Willy Sagnol,4,7,10,0.23523220873884357,0.39661475673927543,928.4817739996066
Sylvain Ripoll,4,7,10,0.24824721311100698,0.3519340620093634,1144.7473033914891
François Ciccolini,4,6,10,0.2308445386233397,0.3198800570400569,1118.0703342968613
Rolland Courbis,4,7,10,0.24394019625738192,0.35163619707557014,1115.478855740135
Thierry Laurey,4,7,10,0.2490930201393016,0.3726793140715916,1166.9896550577068
Hubert Fournier,5,6,10,0.2654895097006274,0.34224988193937145,1137.9373091277344
Jean-Marc Furlan,4,7,10,0.2324902723735409,0.39299610894941633,970.0
Ghislain Printant,4,6,10,0.24746735742054002,0.3481812677625708,1066.4828317023118
Olivier Guégan,4,6,10,0.22974261201143947,0.3145853193517636,1129.0
Stéphane Moulin,4,6,10,0.24071357390820544,0.3253661872825226,1115.838109915134
Frédéric Hantz,4,6,10,0.23976359623235904,0.31899279862648,1109.453452744549
Terry Dunfield,4,6,10,0.23588039867109636,0.3064784053156146,910.9999999999999
Pat Noonan,4,5,10,0.24097664543524414,0.28556263269639065,977.0
Troy Lesesne,4,6,10,0.21775025799793601,0.34881320949432404,936.0
Steven Cherundolo,5,6,10,0.25749167591564925,0.33518312985571586,1069.0
Christian Lattanzio,3,6,10,0.1988527724665392,0.3298279158699809,998.0000000000001
Gary Smith,4,5,10,0.2497704315886134,0.29660238751147844,880.0
Arsène Wenger,4,6,10,0.2431003521853809,0.3355818494596035,982.3019588103764
Rémi Garde,5,6,10,0.2658610170510525,0.3407297240531074,1079.7911541705296
Garry Monk,4,6,10,0.24165933551806998,0.3309075407718391,1013.8061393273115
Sam Allardyce,4,5,10,0.2412282267715963,0.29628124686807383,1040.525935262939
Brendan Rodgers,4,5,10,0.24234234234234237,0.2882882882882883,1177.0
Claudio Ranieri,4,6,10,0.24320337988022353,0.3361003085790863,1094.438281209169
Eddie Howe,4,7,10,0.22629354616799824,0.3687804797355106,1055.6856263938635
Tony Pulis,4,5,10,0.20429593791401104,0.29620424015945257,1094.1277794143243
Steve McClaren,5,6,10,0.2660783745349234,0.3234792294339452,1085.0442130119166
Alan Pardew,4,6,10,0.23815980727482466,0.3168024658521438,1106.2812440111538
Eric Black,4,7,10,0.24485981308411214,0.3514018691588785,973.0
Alex Neil,4,6,10,0.2204788961276804,0.3275966495137016,1073.4843881929853
Guus Hiddink,4,7,10,0.24369747899159663,0.37815126050420167,1203.0
Mark Hughes,4,6,10,0.24024999044949127,0.31996702616474393,1077.563355385698
Slaven Bilić,5,6,10,0.25055187637969095,0.33112582781456956,1094.0
Dick Advocaat,4,6,10,0.2358771060455897,0.33597621407333994,1095.0
David Pleat,4,6,10,0.24444936304293285,0.3163940362185047,1135.7959230716147
Kevin Joseph Keegan,5,5,10,0.252877219170678,0.295715520918654,1195.4967827374678
Chris Coleman,5,6,10,0.25199815745258636,0.33504067415814376,1311.2662264929172
Dave Jones,4,6,10,0.240929408193149,0.32072925410798925,1167.2046738068098
Harry Redknapp,5,6,10,0.25326794334349756,0.31997427076583623,1225.2654819981428
Micky Adams,4,5,10,0.2483301815123269,0.29708297797440913,1070.9688107156892
Alan Curbishley,4,6,10,0.22862030046849763,0.3238211931023414,1225.4634657305378
Peter Reid,4,6,10,0.23566214807090716,0.34410844629822734,1215.0
Graeme Souness,5,6,10,0.25174885954351667,0.3301209678103104,1259.1235701635997
David O''Leary,5,5,10,0.25114552609781443,0.2791230020671159,1232.9999999999998
Steve Bruce,4,6,10,0.23194180356822675,0.3232367770801414,1116.8668867535414
Gordon Strachan,4,6,10,0.23894278380208228,0.3095708055009512,1222.2139402793612
Eddie Gray,4,6,10,0.24085365853658536,0.32926829268292684,1104.0
Andrea Mandorlini,4,6,10,0.2416666757160575,0.3251694202921454,1098.5014754814706
Roberto Donadoni,4,6,10,0.2435574887834019,0.3379459546725833,1176.898767728407
Stefano Pioli,4,6,10,0.24898782576496,0.3378121030371386,1200.005829749384
Stefano Colantuono,4,6,10,0.24577020105996164,0.3490296063456288,1097.531152561886
Roberto Mancini,4,7,10,0.23385146865622972,0.3537384073621817,1091.732690921441
Giuseppe Sannino,4,6,10,0.20721769499417927,0.3084982537834691,1086.0
Rolando Maran,4,6,10,0.24147080320587558,0.3218250578800493,1102.9567623913745
Fabrizio Castori,5,7,10,0.26393629124004553,0.35267349260523323,1258.0
Gian Piero Gasperini,4,7,10,0.2487695798199092,0.3659058268859133,1187.8296689512936
"Rafael Márquez Álvarez, Andrea Mandorlini",5,5,10,0.2648709315375982,0.2547699214365881,1038.0
Rudi Garcia,4,6,10,0.24652592063964546,0.3277908476097087,1116.2949504606418
Davide Ballardini,4,5,10,0.2420591456736035,0.2913472070098576,1094.0
Edoardo Reja,4,6,10,0.23538556548427747,0.3456837148719284,1145.1873226010675
