player,attempts,completions,progressive,accuracy,progressive_ratio,shots,goals,shot_conversion
Vivaldo Borges dos Santos Neto,8.140579485930449,6.859241151064844,0.7714385261005279,0.84259863353952,0.11246703667515291,0.06683021368653717,0.0,0.0
Tomáš Holeš,31.42442640885879,24.675227322128556,9.36973965846812,0.7852244302277039,0.3797225264087196,0.43193194084886954,0.030958737794598578,0.07167503689066343
Lucas Perrin,6.537701416163518,6.1993834389124345,2.1832952812542445,0.948251234537166,0.35217942280357845,0.11683413495009953,0.0,0.0
El Chadaille Bitshiabu,38.252170856645165,35.711851522129905,11.155347380440084,0.9335901916773449,0.31237101704254516,0.0,0.0,0.0
Tim Drexler,8.180568493066257,7.7610521600885,2.5170979978665393,0.9487179487179487,0.3243243243243242,0.0,0.0,0.0
Hugo Ekitike,28.072936508192146,21.85661386029497,3.2119697028810643,0.7785652866744756,0.1469564189316614,2.637881131683944,0.39549809373362244,0.14993021822827488
Daichi Kamada,5.627850818262804,4.2215164725058365,0.9105763840347896,0.7501116516462545,0.21569888213518765,0.3313463092895272,0.0,0.0
Giovanni Di Lorenzo,43.241629525861306,36.36127108354083,8.377500193538593,0.8408857733216187,0.23039624149252375,0.40126441311884137,0.0,0.0
Rodrigo Bentancur Colmán,22.94380565184527,17.942328448113244,6.120867869328845,0.7820118737220135,0.34114122294826765,1.1052130065248535,1.015160891437971,0.9185205796934698
Marcos Johan López Lanfranco,22.311911046546452,12.89504726770655,5.208052360244455,0.5779445445441801,0.40388005193956406,0.24982365250611405,0.0,0.0
Michael Amir Murillo Bermudez,41.250759150566864,31.68467141442477,9.562311918156722,0.7680991105830197,0.3017961522492981,1.002704788187884,0.24699183489643775,0.2463255763870523
Dejan Ljubicic,10.310152711511448,7.607442467531579,1.1520862000501424,0.7378593392741651,0.15144198657659583,0.34997859317390284,0.0,0.0
Virgil van Dijk,109.45081348956951,99.04246424497093,39.25055828001361,0.9049038658301933,0.396300299868666,1.2567781005257557,0.0005716406490122314,0.00045484612500257086
Luis Francisco Romo Barrón,47.91259910186574,37.983844485871906,12.9266403112126,0.7927736169168247,0.3403194301730217,1.4904509459671595,0.0,0.0
Kevin Akpoguma,8.566712441326331,7.614855503401185,1.9037138758502945,0.8888888888888892,0.24999999999999978,0.0,0.0,0.0
