,Z_0_0,Z_0_1,Z_0_2,Z_0_3,Z_0_4,Z_1_0,Z_1_1,Z_1_2,Z_1_3,Z_1_4,Z_2_0,Z_2_1,Z_2_2,Z_2_3,Z_2_4,Z_3_0,Z_3_1,Z_3_2,Z_3_3,Z_3_4,Z_4_0,Z_4_1,Z_4_2,Z_4_3,Z_4_4,Z_5_0,Z_5_1,Z_5_2,Z_5_3,Z_5_4
Z_2_0,0.0024759408877048895,0.014784850740732713,0.011760812743233198,0.00015303581328134585,2.0568771764226074e-05,0.10343576681704583,0.08984260260767529,0.024507993782741003,0.0042423741674389856,0.0009285176012804261,0.25477470922401463,0.19286324698811327,0.04227631468546684,0.011474389626362618,0.002756747901765527,0.16579802666895826,0.04371447017599539,0.0037491794134795154,0.0017686766832374621,0.002332212269663548,0.013412997087107543,0.0040823200649204375,0.0006667734284708496,0.0012846634581397673,0.002271688739957184,0.0025152182957147527,0.0015446061164445643,0.0001706512819246046,2.603173203434018e-05,0.00036461222533112626
Z_2_1,0.00032609909523018615,0.0036115576713223645,0.01395780346249556,0.0002697875998966732,2.43785106526957e-05,0.013670203078140632,0.04557426755296128,0.045030959566563174,0.017488420782522256,0.0009457248253122051,0.15509452949538477,0.16558099481141442,0.15707636484144924,0.0859959351672326,0.011747378068399476,0.12016544260904037,0.07869345073455407,0.035244201353181306,0.009977210445746976,0.009895279723206907,0.007961637764652888,0.005342412391607536,0.0016983510399401981,0.0020080548162565914,0.005211004555201851,0.0026217288308765267,0.0010157764905674921,0.0005302426185957333,0.0012159156156434595,0.0020248864819507207
Z_2_2,2.0574896872194882e-05,0.00041126369952487404,0.011922669573951937,0.0013033150744092366,1.7945132416612413e-05,0.005386313570515593,0.025734707069178454,0.03195404688997314,0.025712444252133385,0.003753474645037235,0.054902913951169904,0.16571424078573677,0.14753710621872945,0.158450585996162,0.05769969477507755,0.0455182712175491,0.06088986636446824,0.07300517072839112,0.05128689240306218,0.046955865089897776,0.008094800479565305,0.003497737805189548,0.0024034390391096463,0.0027632189571537664,0.008881658401269322,0.0023749499523249124,0.0007786768261082304,5.93123879057423e-05,0.0008057633998087778,0.002163080417307893
Z_2_3,1.7410151409601085e-06,0.00016309765386997966,0.015290298505068935,0.003691316611410154,0.0003762490544055895,0.0007202051980435118,0.018257394049585318,0.04365037999243776,0.043606762134236594,0.012230492649636082,0.012143086207369485,0.09135854455443121,0.1599797874246671,0.16164107632509814,0.14294685021306153,0.007711777207496935,0.012424784369869166,0.039425149326152265,0.07878659009048364,0.12108266241262793,0.007073208450759232,0.003105300691189488,0.0028800737360223333,0.00496172606102477,0.00918199517846896,0.001975644851643952,0.0009727070464123878,0.0001685422991701412,0.0023110242222109823,0.0018815324680055135
Z_2_4,0.00017648291528248194,0.0005380980208461007,0.012161747974548533,0.016205570408789824,0.0032819208734647934,0.0010086077821149697,0.0042884031747356536,0.025675484743774152,0.09192076840108745,0.09727436052081256,0.0025601009651778765,0.01118407327467114,0.04359414366819674,0.187266539057049,0.2608444064661152,0.0017007056255938897,0.0009092229290644082,0.006311807444295132,0.04853801459700665,0.15296230270674047,0.0022857304195773465,0.0015047948542801478,0.0016330933426469518,0.004458143805281805,0.015186634131757887,0.00027330519213378273,0.0007814696461191663,0.00021267126703412517,0.0015059505692111856,0.00375544522259058
Z_3_0,2.3810764418866545e-05,0.0003779283964144854,0.00026327249147042116,1.7389521427045806e-07,0.0,0.005433748894775802,0.005394139501900574,0.002121331407567243,0.00038844441552363855,1.614170588534217e-05,0.125927029764615,0.09336159760984118,0.024788615825816453,0.003236693475094901,0.0004722192194717358,0.3036296207102095,0.17942122561691082,0.02843776931778981,0.004309998899123777,0.0016482770973001227,0.15500813709724745,0.040457418405575936,0.003837318479108932,0.001907759205492181,0.0028634319291622637,0.009561530464690259,0.002999244877595905,0.001188048209110461,0.0017900336633975191,0.0011350386592748837
Z_3_1,0.0001588144466777822,0.00013684267607516967,6.024292517230082e-05,0.0,0.0,7.269851294313844e-06,0.0013618041786721826,0.002639636790269366,0.0007320615130515757,2.241536112261423e-06,0.019772421335274137,0.06221869110874567,0.05285949469866574,0.014496750413201637,0.0010252707045450824,0.16983287798687724,0.19365439561706455,0.14600410063335345,0.05563688379182205,0.009204180576029168,0.13060815612356186,0.06807870707417098,0.026350530316332325,0.011155291455586358,0.013252461299544603,0.008393636291828486,0.004110500359756507,0.0020045758112892547,0.0027890915412880097,0.003453068943737836
Z_3_2,5.699717908916412e-07,0.0004872961527471782,0.0007358854430618071,2.1249341012214465e-05,2.147681745437211e-05,0.000576303121271732,0.006101011000099138,0.021574604384549695,0.00490793880184643,0.0006049714966367072,0.005032481809860061,0.03497531616407773,0.11569594996512332,0.0332377752701383,0.0044969897278687955,0.05071445872654113,0.1521320698965056,0.1527875986006731,0.14163384581147015,0.04846241998349785,0.034919993093935564,0.0490539785932686,0.04464475411519111,0.03772201660226396,0.042053025342477846,0.005521068365044637,0.0028392503183971413,0.0010277267118220955,0.003630208046298735,0.004387766325074049
Z_3_3,0.0,0.0,9.306718617257465e-05,4.7854817376455494e-05,4.133012557560231e-07,7.575782468041123e-05,0.0006336952167379593,0.003418693655357784,0.0011223874472204942,0.0004651852417069335,0.001094903017375462,0.009603216790229326,0.0566529306056417,0.05937118077926074,0.017693836325614366,0.007066093311448078,0.05890399634875322,0.15056408103195051,0.18328033426056456,0.167255386667816,0.015124334001203818,0.009525154881286834,0.027440297273463192,0.07179096677150441,0.1349986399340827,0.00339918907609196,0.00376245034483979,0.0013368289508746052,0.0074521105755956385,0.007827014361894879
Z_3_4,0.0,0.0,0.0003607553062117534,0.0009652584591156609,0.0001263569908285129,0.00010447344578578512,0.0006274898309471608,0.0021240252305703726,0.006693750505724784,0.004852052126618083,0.00044676358115645416,0.003320803690334732,0.026575506724815845,0.09050179712490533,0.12630708202829424,0.0017546822914635079,0.0063677911902153515,0.030968935360651678,0.18401382993677776,0.3015106382701737,0.003518862565143413,0.0009164300549867171,0.0037654265257277973,0.03876406916326459,0.14289216973178517,0.0016864444675293987,0.001226111130336486,0.0016411192271263738,0.005892926811345201,0.012074448228164126
